name,city,brand,operator,longitude,latitude
Odeon Lee Valley,London,Odeon,Odeon,-0.0372559,51.6331646
Cineworld Enfield,London,Cineworld,Cineworld,-0.0609636,51.6502249
The Cube,Bristol,,,-2.5933154,51.4611435
Cineworld,Bedford,Cineworld,,-0.4454412,52.1332469
Odeon,Dunfermline,Odeon,,-3.3950524,56.0781499
Genesis Cinema,London,,,-0.0512389,51.5213413
Odeon,Hull,Odeon,,-0.3447607,53.7371437
Cineworld,Eastbourne,Cineworld,,0.2832333,50.7693265
Arts Picturehouse,Cambridge,Picturehouse Cinemas,City Screen Limited,0.1234954,52.2028779
Cineworld,Feltham,Cineworld,,-0.4046333,51.4438575
Showcase Cinemas,Bargeddie,Showcase Cinemas,,-4.0619675,55.8474738
Streatham Odeon,London,Odeon,,-0.1283671,51.4322015
Showcase Cinema Nantgarw,Cardiff,Showcase Cinemas,,-3.2745505,51.5655311
The Light Cinema,Cambridge,,,0.1371418,52.1905042
Showcase Cinemas,Batley,Showcase Cinemas,,-1.6405272,53.7436532
Barbican Centre (Cinema),,,,-0.0937556,51.5197763
Cineworld Crawley,Crawley,Cineworld,,-0.1893021,51.120958
Odeon Mezzanine,,Odeon,,-0.1290844,51.5102139
Cineworld Leicester Square,London,Cineworld,,-0.1304091,51.5109335
Vue Leicester Square,London,Vue,,-0.1293677,51.5112449
Odeon Luxe Haymarket,London,Odeon,,-0.1312249,51.5095663
Curzon Soho,London,Curzon,,-0.1306078,51.5126577
Cineworld Ashford,Ashford,Cineworld,Cineworld,0.873378,51.1606449
Odeon Glasgow Quay,Glasgow,Odeon,,-4.2765689,55.8545708
Odeon,Tunbridge Wells,Odeon,,0.2969939,51.1543111
Odeon Luxe,Warrington,Odeon,,-2.6331567,53.4070352
Odeon Multiplex Cinema,,Odeon,,-0.8103905,51.815421
Showcase Cinemas,Bristol,Showcase Cinemas,,-2.5610533,51.4496099
Savoy,Nottingham,,,-1.1736153,52.9511785
Hebden Bridge Picture House,Hebden Bridge,,,-2.0126028,53.7405316
Odeon Holloway,London,Odeon,Odeon,-0.1213954,51.5586621
New Park Centre Cinema.,,,,-0.7733122,50.837668
Cineworld Chichester,Chichester,Cineworld,,-0.7854904,50.8303841
Vue Purley Way,Croydon,Vue,,-0.1246385,51.3780368
Odeon Luxe Edinburgh West,,Odeon,,-3.2863974,55.9152128
Screen on the Green,London,Everyman Cinemas,Everyman Media Group PLC,-0.1036648,51.5368532
Vue,,Vue,,-2.6803412,53.7483861
Odeon,,Odeon,Odeon,-0.2623241,51.333927
Cameo Picturehouse,Edinburgh,Picturehouse Cinemas,,-3.2039269,55.9427844
Odeon,Edinburgh,Odeon,,-3.2057617,55.9456211
Filmhouse,Edinburgh,,,-3.2061597,55.9464558
Cineworld,Edinburgh,Cineworld,,-3.2182349,55.9412502
Odeon,,Odeon,Cineworld,-1.22788,54.576396
Odeon Luxe,Derby,Odeon,,-1.4635179,52.9389893
Vue,Exeter,Vue,,-3.5225029,50.7258055
Odeon Multiplex,,Odeon,,-0.7227654,51.520685
Reel Cinema,,REEL Cinemas,,-2.2473062,53.7843022
Cineworld,Dundee,Cineworld,,-3.0235928,56.4816538
Showcase Cinemas,Nottingham,Showcase Cinemas,,-1.1760546,52.9366957
The Tivoli,,,,-3.4864827,50.9021806
Hollywood Green,London,Vue,Vue,-0.1086503,51.5968801
Vue,,Vue,,-1.1053644,53.5128871
Odeon Wimbledon,London,Odeon,,-0.2048792,51.4198096
Cineworld,Hull,Cineworld,,-0.3534681,53.7913701
The Rex,Wilmslow,,,-2.232616,53.3254709
Vue,Bristol,Vue,,-2.4991909,51.4496795
Odeon,Portsmouth,Odeon,,-1.0966036,50.8405499
Showcase Cinemas,Peterborough,Showcase Cinemas,Showcase,-0.2232213,52.574123
Depot,Lewes,,,0.0120094,50.8715417
The Odyssey Cinema,St Albans,,,-0.3325215,51.7479521
Odeon,Norwich,Odeon,,1.3049405,52.6251551
Odeon,Leicester,Odeon,,-1.135834,52.6201545
The Light,Sittingbourne,,,0.7405865,51.3395548
Harbour Lights Picturehouse,Southampton,Picturehouse Cinemas,,-1.3931695,50.8946396
Vue,Ellesmere Port,Vue,,-2.8893259,53.2650241
Cineworld Rochester,,Cineworld,,0.4747508,51.3795076
